entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Wages,0.0354,0.0411,0.0404,0.0548,0.0439,0.0449,0.0424,0.0419,0.0467,0.1508,0.1466,0.0736,0.0653,0.0586,0.0682,0.0779
Border,0.0348,0.0388,0.0366,0.0293,0.0300,0.0291,0.0285,0.0263,0.0259,0.0254,0.0223,0.0279,0.0244,0.0338,0.0325,0.1204
Stock Market,0.0348,0.0254,0.0255,0.0211,0.0330,0.0461,0.0219,0.0224,0.0227,0.0200,0.0283,0.0240,0.0550,0.0475,0.0657,0.0252
Iran,0.0347,0.0411,0.0431,0.0321,0.0243,0.0249,0.0297,0.0232,0.0443,0.0292,0.0341,0.0409,0.1249,0.0219,0.0199,0.0253
Property taxes,0.0341,0.0308,0.0316,0.0299,0.0441,0.0340,0.0361,0.0294,0.0300,0.0279,0.0308,0.0276,0.0234,0.0309,0.0368,0.0228
Government,0.0335,0.0268,0.0179,0.0181,0.0164,0.0149,0.0152,0.0101,0.0110,0.0087,0.0104,0.0107,0.0106,0.0088,0.0105,0.0100
FDA,0.0328,0.0326,0.0232,0.0259,0.0241,0.0227,0.0226,0.0219,0.0179,0.0177,0.0181,0.0190,0.0163,0.0185,0.0196,0.0109
September 11 attacks,0.0328,0.0299,0.0428,0.0255,0.0223,0.0199,0.0186,0.0195,0.0209,0.0153,0.0151,0.0159,0.0162,0.0174,0.0174,0.0177
Thailand,0.0328,0.0437,0.0355,0.0327,0.0292,0.0254,0.0265,0.0239,0.0236,0.0261,0.0294,0.0281,0.0261,0.0279,0.0250,0.0278
NOAA,0.0315,0.0281,0.0328,0.0352,0.0578,0.0365,0.0702,0.1070,0.0434,0.0414,0.0564,0.0465,0.0269,0.0391,0.0192,0.0259
Netherlands,0.0308,0.0308,0.0264,0.0228,0.0215,0.0242,0.0244,0.0159,0.0161,0.0158,0.0138,0.0156,0.0149,0.0156,0.0157,0.0136
Veterans,0.0302,0.0219,0.0302,0.0266,0.0269,0.0275,0.0283,0.0328,0.0312,0.0285,0.0320,0.0373,0.0350,0.0375,0.0369,0.0446
Siemens,0.0302,0.0196,0.0141,0.0156,0.0153,0.0103,0.0134,0.0103,0.0140,0.0100,0.0078,0.0076,0.0064,0.0065,0.0063,0.0028
FBI,0.0302,0.0308,0.0243,0.0207,0.0261,0.0247,0.0222,0.0217,0.0204,0.0214,0.0187,0.0173,0.0203,0.0179,0.0377,0.0252
Middle East,0.0302,0.0254,0.0240,0.0209,0.0174,0.0155,0.0121,0.0146,0.0137,0.0120,0.0122,0.0144,0.0159,0.0127,0.0123,0.0135
Democracy,0.0302,0.0263,0.0267,0.0177,0.0212,0.0190,0.0184,0.0153,0.0164,0.0162,0.0176,0.0183,0.0218,0.0203,0.0233,0.0464
Panama,0.0289,0.0245,0.0188,0.0200,0.0212,0.0204,0.0256,0.0192,0.0161,0.0159,0.0172,0.0174,0.0139,0.0146,0.0130,0.0146
South Korea,0.0288,0.0232,0.0185,0.0183,0.0173,0.0209,0.0208,0.0240,0.0185,0.0229,0.0299,0.0200,0.0210,0.0240,0.0316,0.0201
Belgium,0.0276,0.0210,0.0173,0.0137,0.0161,0.0141,0.0165,0.0129,0.0129,0.0147,0.0115,0.0137,0.0125,0.0133,0.0128,0.0130
Capital punishment,0.0276,0.0406,0.0311,0.0215,0.0161,0.0212,0.0171,0.0170,0.0147,0.0160,0.0175,0.0173,0.0135,0.0143,0.0128,0.0158
Nuclear power,0.0275,0.0219,0.0199,0.0167,0.0180,0.0190,0.0195,0.0138,0.0127,0.0158,0.0124,0.0149,0.0124,0.0130,0.0134,0.0104
Veteran Affairs,0.0263,0.0259,0.0299,0.0314,0.0333,0.0375,0.0406,0.0427,0.0399,0.0379,0.0390,0.0427,0.0355,0.0400,0.0456,0.0257
Homeland Security Department,0.0262,0.0223,0.0208,0.0236,0.0184,0.0222,0.0186,0.0156,0.0139,0.0133,0.0137,0.0136,0.0123,0.0150,0.0143,0.0298
Social security,0.0243,0.0830,0.0220,0.0213,0.0239,0.0230,0.0229,0.0331,0.0290,0.0260,0.0291,0.0375,0.0330,0.0270,0.0369,0.0409
Indonesia,0.0243,0.0187,0.0161,0.0135,0.0158,0.0111,0.0136,0.0130,0.0123,0.0123,0.0163,0.0364,0.0141,0.0144,0.0113,0.0100
Poland,0.0243,0.0286,0.0226,0.0181,0.0147,0.0193,0.0287,0.0155,0.0151,0.0144,0.0142,0.0156,0.0155,0.0150,0.0153,0.0141
No Child Left Behind Act,0.0236,0.0107,0.0070,0.0114,0.0118,0.0051,0.0047,0.0068,0.0033,0.0019,0.0013,0.0014,0.0010,0.0011,0.0011,0.0007
No Child Left Behind Act,0.0236,0.0107,0.0070,0.0114,0.0118,0.0051,0.0047,0.0068,0.0033,0.0019,0.0013,0.0014,0.0010,0.0011,0.0011,0.0007
Department of State,0.0236,0.0241,0.0246,0.0234,0.0189,0.0238,0.0164,0.0174,0.0127,0.0103,0.0112,0.0097,0.0074,0.0109,0.0068,0.0046
Treasury,0.0230,0.0192,0.0202,0.0162,0.0206,0.0237,0.0133,0.0118,0.0144,0.0119,0.0112,0.0124,0.0085,0.0111,0.0142,0.0085
